name,blur_score_mean,blur_score_std,brightness_mean,brightness_std,contrast_mean,contrast_std,face_size_mean,face_size_std,aspect_ratio_mean,aspect_ratio_std,recall,precision,f1_score,predicted_count,support
james,44.747373921091786,75.08917797313721,120.07712860107422,31.849288126597056,58.23581740104561,15.1154147797913,262144.0,0.0,1.0,0.0,0.016,0.123076923076923,0.0283185840707964,65,500
jessica,54.05303588151044,130.68603164435527,114.10110660552978,31.956496254862657,60.79250532180675,12.953965630567827,262144.0,0.0,1.0,0.0,0.12,0.1244813278008298,0.1221995926680244,482,500
john,52.823922568745765,115.6230115670932,122.28526062011719,33.07262554444419,58.26109160614979,14.911526523768583,262144.0,0.0,1.0,0.0,0.084,0.1076923076923077,0.0943820224719101,390,500
laura,34.709705302991786,53.79879245284649,110.46558738708497,30.298647414638154,60.4096190500072,14.201247766543695,262144.0,0.0,1.0,0.0,0.084,0.0773480662983425,0.0805369127516778,543,500
lisa,64.01065107457238,142.7430922033324,120.42401889801026,35.805483611440515,58.704833715598504,13.224819375277058,262144.0,0.0,1.0,0.0,0.1987829614604462,0.1482602118003025,0.169844020797227,661,493
maria,48.95969846480861,105.58723426443879,109.86036785125732,32.06395718570104,59.722161081536306,15.219935515889198,262144.0,0.0,1.0,0.0,0.092,0.125,0.1059907834101382,368,500
mark,71.8579444038494,156.20361373151312,118.66804237365723,32.2729351692413,61.77679110087108,16.38732862279659,262144.0,0.0,1.0,0.0,0.204,0.1871559633027523,0.1952153110047846,545,500
matt,104.82038989468609,331.3271580095926,113.68293712615967,33.92930103072531,58.78109302172666,13.143282001359772,262144.0,0.0,1.0,0.0,0.1192468619246862,0.1030741410488245,0.110572259941804,553,478
michael,91.5341180657962,229.55370771787136,121.12680248260499,34.3497025362312,60.16508484319002,13.735758026296393,262144.0,0.0,1.0,0.0,0.072,0.0962566844919786,0.0823798627002288,374,500
michelle,61.062261873790845,106.39030893694203,111.09948066711426,35.11444776223662,61.60903012150673,15.281333735965765,262144.0,0.0,1.0,0.0,0.1629327902240326,0.1112656467315716,0.1322314049586777,719,491
mike,73.8611873532168,152.4865668120435,117.16859058380128,34.36965472158495,59.79580298191717,13.45601346486791,262144.0,0.0,1.0,0.0,0.0769230769230769,0.0835164835164835,0.0800842992623814,455,494
nick,72.9304514956192,177.71433775341768,111.68093044281005,35.349436164235904,58.228284360912355,14.591427259990327,262144.0,0.0,1.0,0.0,0.2238493723849372,0.13375,0.1674491392801252,800,478
nicole,66.72056957859051,145.36268102489385,117.05713302612304,32.38680022020373,62.81785131702076,12.46574447281334,262144.0,0.0,1.0,0.0,0.03,0.0955414012738853,0.045662100456621,157,500
sam,52.4828210473487,80.91251000265255,107.68261329650879,34.47071594486365,59.53900498771618,13.10392519403684,262144.0,0.0,1.0,0.0,0.092,0.0907297830374753,0.0913604766633565,507,500
sara,72.37305322557236,260.1148310564373,115.18153030395507,36.43819800788027,62.52992928848545,12.926384708265232,262144.0,0.0,1.0,0.0,0.088,0.1229050279329608,0.1025641025641025,358,500
sarah,52.87016500540121,143.00516877765187,116.19470233917237,32.65887435888394,59.3448679867032,14.484853852879173,262144.0,0.0,1.0,0.0,0.088,0.0926315789473684,0.0902564102564102,475,500
thomas,42.57052333486805,63.391725618287815,121.8301664352417,34.16597392606813,59.001583141169895,13.677520802179327,262144.0,0.0,1.0,0.0,0.044,0.1195652173913043,0.0643274853801169,184,500
william,93.81684325483177,282.818287432187,130.53153564453126,32.91279300339746,59.61988928165734,15.321177831797172,262144.0,0.0,1.0,0.0,0.492,0.2853828306264501,0.3612334801762114,862,500
